id,host_since,tempoHost,review_scores_rating,price$,diferencaUltimoReview,binTempo
8392801,2013-03-22,3,100.0,100.0,0,host_medio
7404370,2015-03-02,1,80.0,130.0,0,host_novo
3720511,2013-04-27,3,96.0,235.0,1,host_medio
8193332,2013-10-09,3,80.0,100.0,0,host_medio
7957904,2015-08-20,1,80.0,120.0,0,host_novo
4555997,2014-07-18,2,100.0,80.0,0,host_medio
2267088,2013-10-21,3,97.0,110.0,1,host_medio
108468,2011-05-05,5,100.0,395.0,3,host_antigo
6400379,2015-01-14,1,94.0,88.0,0,host_novo
5948003,2014-12-03,2,97.0,55.0,0,host_medio
5058086,2013-11-22,3,97.0,145.0,0,host_medio
1209255,2011-10-17,5,96.0,425.0,2,host_antigo
1914051,2013-10-04,3,95.0,114.0,1,host_medio
2923529,2014-04-30,2,98.0,110.0,1,host_medio
1027860,2009-08-30,7,100.0,300.0,1,host_antigo
2373176,2013-10-04,3,97.0,117.0,2,host_medio
6404427,2011-10-08,5,99.0,275.0,0,host_antigo
8517602,2015-09-14,1,98.0,85.0,1,host_novo
7035240,2011-06-10,5,NULL,300.0,NULL,host_antigo
4583161,2011-12-17,5,96.0,53.0,1,host_antigo
7967844,2012-05-21,4,94.0,107.0,1,host_antigo
6562393,2015-05-22,1,100.0,348.0,0,host_novo
7807087,2012-01-25,4,94.0,89.0,0,host_antigo
5405643,2014-01-01,2,99.0,89.0,0,host_medio
7011200,2014-11-04,2,98.0,89.0,0,host_medio
610989,2012-07-23,4,100.0,209.0,0,host_antigo
7839535,2015-01-14,1,95.0,76.0,0,host_novo
4814894,2014-12-13,2,89.0,74.0,0,host_medio
186328,2011-07-30,5,NULL,250.0,0,host_antigo
7492877,2015-07-22,1,94.0,180.0,0,host_novo
6576228,2015-05-27,1,97.0,179.0,0,host_novo
241016,2011-08-11,5,95.0,115.0,2,host_antigo
6968101,2014-05-21,2,97.0,140.0,0,host_medio
5648564,2014-11-24,2,100.0,150.0,0,host_medio
4116645,2014-09-12,2,92.0,70.0,1,host_medio
2419879,2013-08-30,3,83.0,300.0,1,host_medio
6425735,2014-02-17,2,100.0,99.0,0,host_medio
8105351,2014-11-10,2,100.0,89.0,1,host_medio
9136499,2012-10-04,4,NULL,100.0,NULL,host_antigo
3639023,2014-07-19,2,93.0,84.0,0,host_medio
6724599,2014-07-19,2,98.0,97.0,0,host_medio
4211629,2013-03-31,3,100.0,116.0,1,host_medio
7151924,2011-01-25,5,96.0,150.0,0,host_antigo
704764,2012-09-19,4,97.0,110.0,3,host_antigo
1796217,2010-01-27,6,95.0,265.0,1,host_antigo
4661812,2013-02-10,3,88.0,115.0,0,host_medio
8811945,2015-09-07,1,NULL,100.0,NULL,host_novo
